Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2019†","Rabies, Animal, Cum 2019†, flag","Rabies, Animal, Cum 2018†","Rabies, Animal, Cum 2018†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2019†","Rabies, Human, Cum 2019†, flag","Rabies, Human, Cum 2018†","Rabies, Human, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
FLORIDA,2019,28,,-,30,,68,,114,,,-,0,,,-,1,,"FLORIDA
(28.260731, -82.420978)",,20192831
GEORGIA,2019,28,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20192832
MARYLAND,2019,28,,-,11,,112,,139,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20192833
NORTH CAROLINA,2019,28,9,,17,,154,,147,,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20192834
SOUTH CAROLINA,2019,28,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20192835
VIRGINIA,2019,28,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20192836
WEST VIRGINIA,2019,28,,-,5,,30,,16,,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20192837
EAST SOUTH CENTRAL,2019,28,2,,8,,26,,36,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20192838
ALABAMA,2019,28,2,,5,,21,,25,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20192839
KENTUCKY,2019,28,,-,8,,4,,8,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20192840
MISSISSIPPI,2019,28,,-,1,,1,,3,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20192841
TENNESSEE,2019,28,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20192842
WEST SOUTH CENTRAL,2019,28,16,,47,,51,,338,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20192843
ARKANSAS,2019,28,1,,7,,18,,13,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20192844
LOUISIANA,2019,28,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20192845
OKLAHOMA,2019,28,6,,7,,14,,13,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20192846
TEXAS,2019,28,9,,46,,19,,312,,,-,0,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20192847
MOUNTAIN,2019,28,,-,6,,19,,43,,,-,1,,,-,,-,,MOUNTAIN,20192848
ARIZONA,2019,28,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20192849
COLORADO,2019,28,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20192850
IDAHO,2019,28,,-,3,,,-,,-,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20192851
MONTANA,2019,28,,-,1,,2,,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20192852
NEVADA,2019,28,,-,2,,1,,5,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20192853
NEW MEXICO,2019,28,,-,2,,13,,8,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20192854
UTAH,2019,28,,-,1,,,-,4,,,-,1,,,-,,-,"UTAH
(39.323779, -111.678222)",,20192855
WYOMING,2019,28,,-,3,,3,,26,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20192856
PACIFIC,2019,28,3,,40,,87,,85,,,-,0,,,-,,-,,PACIFIC,20192857
ALASKA,2019,28,,-,2,,7,,6,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20192858
CALIFORNIA,2019,28,3,,9,,80,,75,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20192859
HAWAII,2019,28,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20192860
OREGON,2019,28,,-,3,,,-,4,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20192861
WASHINGTON,2019,28,,-,40,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20192862
US TERRITORIES,2019,28,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20192863
AMERICAN SAMOA,2019,28,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA,20192864
NORTHERN MARIANA ISLANDS,2019,28,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20192865
GUAM,2019,28,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20192866
PUERTO RICO,2019,28,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20192867
U.S. VIRGIN ISLANDS,2019,28,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20192868
NON-US RESIDENTS,2019,28,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20192869
TOTAL,2019,28,44,,102,,966,,1439,,,-,1,,,-,1,,,TOTAL,20192870
US RESIDENTS,2019,29,41,,102,,1023,,1499,,,-,1,,,-,1,,,US RESIDENTS,20192901
NEW ENGLAND,2019,29,4,,14,,66,,96,,,-,0,,,-,,-,,NEW ENGLAND,20192902
CONNECTICUT,2019,29,,-,2,,8,,26,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20192903
MAINE,2019,29,4,,5,,38,,29,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20192904
MASSACHUSETTS,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20192905
NEW HAMPSHIRE,2019,29,,-,3,,12,,18,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20192906
RHODE ISLAND,2019,29,,-,2,,2,,13,,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20192907
VERMONT,2019,29,,-,5,,6,,10,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20192908
MIDDLE ATLANTIC,2019,29,18,,30,,294,,341,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20192909
NEW JERSEY,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20192910
NEW YORK,2019,29,18,,29,,294,,338,,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20192911
NEW YORK CITY,2019,29,,-,3,,,-,3,,,-,0,,,-,,-,,NEW YORK CITY,20192912
PENNSYLVANIA,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20192913
EAST NORTH CENTRAL,2019,29,2,,24,,41,,61,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20192914
ILLINOIS,2019,29,2,,13,,12,,19,,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20192915
INDIANA,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20192916
MICHIGAN,2019,29,,-,7,,9,,33,,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20192917
OHIO,2019,29,,-,6,,20,,9,,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20192918
WISCONSIN,2019,29,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20192919
WEST NORTH CENTRAL,2019,29,3,,6,,49,,51,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20192920
IOWA,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20192921
KANSAS,2019,29,,-,3,,29,,19,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20192922
MINNESOTA,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20192923
MISSOURI,2019,29,3,,4,,11,,8,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20192924
NEBRASKA,2019,29,,-,2,,6,,13,,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20192925
NORTH DAKOTA,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20192926
SOUTH DAKOTA,2019,29,,-,2,,3,,11,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20192927
SOUTH ATLANTIC,2019,29,7,,83,,380,,424,,,-,1,,,-,1,,,SOUTH ATLANTIC,20192928
DELAWARE,2019,29,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20192929
DISTRICT OF COLUMBIA,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20192930
FLORIDA,2019,29,,-,77,,77,,111,,,-,0,,,-,1,,"FLORIDA
(28.260731, -82.420978)",,20192931
GEORGIA,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20192932
MARYLAND,2019,29,,-,11,,112,,143,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20192933
NORTH CAROLINA,2019,29,7,,17,,161,,154,,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20192934
SOUTH CAROLINA,2019,29,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20192935
VIRGINIA,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20192936
WEST VIRGINIA,2019,29,,-,5,,30,,16,,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20192937
EAST SOUTH CENTRAL,2019,29,2,,8,,28,,39,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20192938
ALABAMA,2019,29,2,,4,,23,,28,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20192939
KENTUCKY,2019,29,,-,8,,4,,8,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20192940
MISSISSIPPI,2019,29,,-,1,,1,,3,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20192941
TENNESSEE,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20192942
WEST SOUTH CENTRAL,2019,29,3,,47,,54,,349,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20192943
ARKANSAS,2019,29,1,,7,,19,,14,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20192944
LOUISIANA,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20192945
OKLAHOMA,2019,29,2,,7,,16,,13,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20192946
TEXAS,2019,29,,-,46,,19,,322,,,-,0,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20192947
MOUNTAIN,2019,29,,-,6,,20,,44,,,-,1,,,-,,-,,MOUNTAIN,20192948
ARIZONA,2019,29,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20192949
COLORADO,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20192950
IDAHO,2019,29,,-,3,,,-,,-,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20192951
MONTANA,2019,29,,-,1,,3,,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20192952
NEVADA,2019,29,,-,2,,1,,5,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20192953
NEW MEXICO,2019,29,,-,2,,13,,8,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20192954
UTAH,2019,29,,-,1,,,-,5,,,-,1,,,-,,-,"UTAH
(39.323779, -111.678222)",,20192955
WYOMING,2019,29,,-,3,,3,,26,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20192956
PACIFIC,2019,29,2,,40,,91,,94,,,-,0,,,-,,-,,PACIFIC,20192957
ALASKA,2019,29,,-,2,,7,,6,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20192958
CALIFORNIA,2019,29,1,,9,,83,,81,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20192959
HAWAII,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20192960
OREGON,2019,29,1,,3,,1,,7,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20192961
WASHINGTON,2019,29,,-,40,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20192962
US TERRITORIES,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20192963
AMERICAN SAMOA,2019,29,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA,20192964
NORTHERN MARIANA ISLANDS,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20192965
GUAM,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20192966
PUERTO RICO,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20192967
U.S. VIRGIN ISLANDS,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20192968
NON-US RESIDENTS,2019,29,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20192969
TOTAL,2019,29,41,,102,,1023,,1499,,,-,1,,,-,1,,,TOTAL,20192970
US RESIDENTS,2019,30,43,,102,,1074,,1568,,,-,1,,,-,1,,,US RESIDENTS,20193001
NEW ENGLAND,2019,30,,-,14,,67,,101,,,-,0,,,-,,-,,NEW ENGLAND,20193002
CONNECTICUT,2019,30,,-,2,,8,,27,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20193003
MAINE,2019,30,,-,5,,39,,30,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20193004
MASSACHUSETTS,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20193005
NEW HAMPSHIRE,2019,30,,-,3,,12,,20,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20193006
RHODE ISLAND,2019,30,,-,2,,2,,14,,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20193007
VERMONT,2019,30,,-,5,,6,,10,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20193008
MIDDLE ATLANTIC,2019,30,18,,30,,312,,350,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20193009
NEW JERSEY,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20193010
NEW YORK,2019,30,18,,29,,312,,347,,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20193011
NEW YORK CITY,2019,30,,-,3,,,-,3,,,-,0,,,-,,-,,NEW YORK CITY,20193012
PENNSYLVANIA,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20193013
EAST NORTH CENTRAL,2019,30,5,,24,,49,,69,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20193014
ILLINOIS,2019,30,4,,13,,17,,22,,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20193015
INDIANA,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20193016
MICHIGAN,2019,30,,-,7,,11,,37,,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20193017
OHIO,2019,30,1,,6,,21,,10,,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20193018
WISCONSIN,2019,30,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20193019
WEST NORTH CENTRAL,2019,30,3,,6,,52,,54,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20193020
IOWA,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20193021
KANSAS,2019,30,,-,3,,29,,20,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20193022
MINNESOTA,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20193023
MISSOURI,2019,30,3,,4,,14,,10,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20193024
